finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
INDEX,-0.895,-0.094,0.239,Left,0.675,-0.379,0.45,0.445,A
PALM,1.027,0.133,0.065,Towards you,-0.717,-0.235,0.622,-0.209,A
MIDDLE,-0.976,-0.062,0.082,Away from you,0.71,-0.218,0.643,0.187,A
THUMB,0.828,-0.582,0.213,Right,0.265,0.323,-0.573,0.705,A
INDEX,-0.88,-0.078,0.235,Left,0.669,-0.384,0.447,0.452,A
PALM,1.031,0.134,0.058,Towards you,-0.717,-0.23,0.625,-0.204,A
PINKY,-0.844,0.405,0.212,Towards you,-0.098,-0.579,0.196,0.785,A
RING,-0.936,0.158,-0.136,Left,0.522,-0.351,0.661,0.41,A
MIDDLE,-0.973,-0.047,0.095,Away from you,0.708,-0.223,0.643,0.191,A
THUMB,0.834,-0.575,0.185,Right,0.271,0.318,-0.576,0.703,A
INDEX,-0.913,-0.095,0.214,Left,0.666,-0.388,0.445,0.456,A
PALM,1.013,0.135,0.057,Towards you,-0.719,-0.224,0.628,-0.196,A
PINKY,-0.811,0.465,0.223,Towards you,-0.118,-0.58,0.187,0.784,A
RING,-0.938,0.217,-0.117,Left,0.515,-0.354,0.656,0.422,A
MIDDLE,-0.969,-0.011,0.113,Away from you,0.707,-0.223,0.64,0.201,A
THUMB,0.842,-0.565,0.204,Right,0.278,0.319,-0.572,0.703,A
INDEX,-0.889,-0.079,0.232,Left,0.658,-0.39,0.438,0.472,A
PALM,1.036,0.148,0.034,Towards you,-0.721,-0.223,0.626,-0.199,A
PINKY,-0.828,0.38,0.257,Towards you,-0.141,-0.587,0.16,0.781,A
RING,-0.933,0.146,-0.073,Left,0.51,-0.377,0.641,0.433,A
MIDDLE,-0.955,-0.051,0.137,Away from you,0.708,-0.241,0.63,0.211,A
THUMB,0.836,-0.56,0.22,Right,0.273,0.324,-0.577,0.698,A
INDEX,-0.905,-0.058,0.227,Left,0.653,-0.399,0.425,0.482,A
PALM,1.034,0.143,0.042,Towards you,-0.725,-0.224,0.622,-0.196,A
PINKY,-0.824,0.387,0.278,Towards you,-0.168,-0.581,0.14,0.784,A
RING,-0.937,0.159,-0.074,Left,0.509,-0.385,0.625,0.449,A
MIDDLE,-0.965,-0.055,0.152,Away from you,0.715,-0.244,0.618,0.219,A
THUMB,0.858,-0.543,0.178,Right,0.281,0.331,-0.581,0.688,A
INDEX,-0.859,-0.102,0.291,Left,0.658,-0.398,0.408,0.492,A
PALM,1.015,0.161,0.111,Towards you,-0.737,-0.216,0.613,-0.186,A
PINKY,-0.819,0.408,0.272,Towards you,-0.178,-0.573,0.134,0.788,A
