finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
THUMB,-0.461,-0.606,0.65,Left,0.876,-0.392,0.149,0.237,A
INDEX,-0.349,-0.045,0.768,Up,0.612,-0.174,0.084,0.767,A
PALM,0.453,-0.373,-0.876,Down,-0.055,0.866,-0.407,0.285,A
PINKY,-0.507,0.768,0.375,Left,-0.065,0.266,-0.454,-0.848,A
RING,-0.593,0.593,0.538,Right,-0.694,-0.458,-0.063,0.553,A
MIDDLE,-0.475,0.515,0.784,Up,0.689,0.003,0.345,0.637,A
THUMB,-0.411,-0.607,0.728,Up,0.888,-0.36,0.122,0.257,A
PALM,0.475,-0.471,-0.822,Down,-0.08,0.851,-0.412,0.315,A
PINKY,-0.246,0.683,0.515,Left,-0.042,0.133,-0.414,-0.9,A
RING,-0.245,0.732,0.676,Up,-0.775,-0.353,0.071,0.519,A
MIDDLE,-0.227,0.572,0.777,Up,0.669,0.089,0.292,0.677,A
THUMB,-0.257,-0.618,0.91,Up,0.917,-0.313,0.03,0.246,A
INDEX,-0.035,0.093,0.865,Up,0.598,-0.038,0.019,0.801,A
PALM,0.617,-0.586,-0.758,Away from you,-0.059,0.836,-0.384,0.388,A
PINKY,0.045,0.786,0.663,Up,-0.027,-0.016,-0.321,-0.947,A
RING,-0.284,0.664,0.726,Up,-0.817,-0.25,0.089,0.512,A
MIDDLE,-0.2,0.357,0.737,Up,0.664,0.08,0.213,0.712,A
THUMB,-0.163,-0.669,0.69,Up,0.909,-0.348,-0.051,0.221,A
INDEX,-0.035,-0.026,0.676,Up,0.57,-0.015,-0.039,0.821,A
PALM,0.723,-0.218,-0.427,Away from you,-0.06,0.821,-0.316,0.472,A
PINKY,0.057,0.867,0.556,Left,0.167,0.053,-0.435,-0.883,A
RING,-0.22,0.657,0.606,Right,-0.848,-0.427,0.029,0.314,A
MIDDLE,-0.215,0.672,0.698,Up,0.485,0.064,0.366,0.792,A
THUMB,-0.148,-0.502,1.022,Up,0.884,-0.225,-0.042,0.407,A
INDEX,-0.07,0.333,0.775,Up,0.403,0.01,0.127,0.906,A
PALM,0.573,-0.693,-0.501,Away from you,-0.283,0.841,-0.24,0.393,A
PINKY,-0.207,0.963,0.118,Towards you,0.3,0.364,-0.52,-0.712,A
RING,-0.414,1.113,0.188,Right,-0.768,-0.594,-0.207,0.12,A
MIDDLE,-0.432,0.801,0.358,Left,0.279,-0.139,0.545,0.778,A
THUMB,-0.281,0.019,0.762,Up,0.774,-0.162,0.09,0.605,A
INDEX,-0.589,0.562,0.725,Up,0.234,-0.091,0.33,0.91,A
PALM,0.179,-0.776,-0.622,Left,-0.414,0.863,-0.198,0.212,A
PINKY,-0.186,0.843,-0.297,Towards you,0.306,0.54,-0.509,-0.596,A
RING,-0.323,0.817,-0.366,Right,-0.652,-0.677,-0.335,0.066,A
MIDDLE,-0.591,0.73,0.106,Left,0.213,-0.261,0.664,0.667,A
THUMB,-0.653,0.108,0.899,Up,0.672,-0.17,0.268,0.669,A
INDEX,-0.62,0.758,0.231,Left,0.197,-0.211,0.513,0.809,A
